crn,course,title,faculty,meeting,credits,enrolled
10298,CEVE 651 001,M.S. RESEARCH AND THESIS,Faculty:,Meeting: TBA TBA,1 TO 15,Enrolled: 5 (Max 15)
10737,CEVE 684 001,ENVIRON RISK ASSESS&HUMAN HLTH,"Faculty: Raun, Loren H.",Meeting: 05:15PM - 06:29PM MW TBA TBA,3,Enrolled: 3 (Max 15)
10299,CEVE 800 001,PH.D. RESEARCH AND THESIS,Faculty:,Meeting: TBA TBA,1 TO 15,Enrolled: 29 (Max 70)
10002,CHBE 301 001,CHEMICAL ENGR FUNDAMENTALS,"Faculty: Biswal, Sibani L.",Meeting: 10:00AM - 10:50AM MWF TBA TBA,3,Enrolled: 86 (Permission Required)
10003,CHBE 303 001,COMP PROGRAMMING IN CHEM ENG,Faculty:,Meeting: 07:00PM - 08:59PM T TBA TBA,2,Enrolled: 87 (Permission Required)
10004,CHBE 390 001,KINETICS & REACTOR DESIGN,"Faculty: Wong, Michael S.",Meeting: 09:00AM - 09:50AM MWF TBA TBA,3,Enrolled: 66 (Max 80)
10005,CHBE 401 001,TRANSPORT PHENOMENA I,"Faculty: Pasquali, Matteo",Meeting: 09:25AM - 10:40AM TR TBA TBA,3,Enrolled: 63 (Max 80)
10006,CHBE 403 001,DESIGN FUNDAMENTALS,"Faculty: Cox, Kenneth R.",Meeting: 11:00AM - 11:50AM MWF TBA TBA,4,Enrolled: 55 (Max 65)
11359,CHBE 411 001,THERMODYNAMICS I,"Faculty: Verduzco, Rafael",Meeting: 01:00PM - 02:15PM TR TBA TBA,3,Enrolled: 74 (Max 80)
10007,CHBE 420 001,BIOSYSTEMS TRANSPORT&REACTION,"Faculty: Suh, Junghae",Meeting: 11:00AM - 12:15PM MW TBA TBA,3,Enrolled: 0 (Max 49)
10009,CHBE 443 001,CHEMICAL ENGINEERING LAB II,"Faculty: Cox, Kenneth R.",Meeting: 02:00PM - 02:50PM F TBA TBA,3,Enrolled: 53 (Max 65)
12091,CHBE 450 001,PETRO PHASE BEHAV & FLOW ASSUR,"Faculty: Vargas Arreola, Francisco M.",Meeting: 04:00PM - 05:15PM MW TBA TBA,3,Enrolled: 10 (Max 14)
10010,CHBE 470 001,PROCESS DYNAMICS & CONTROL,"Faculty: Nagrath, Deepak",Meeting: 09:25AM - 10:40AM TR TBA TBA,3,Enrolled: 55 (Max 65)
11979,CHBE 499 001,UNDERGRADUATE RESEARCH,"Faculty: Robert, Marc A.",Meeting: TBA TBA,1 TO 6,Enrolled: 3 (Permission Required)
10011,CHBE 501 001,FLUID MECH & TRANSPORT PROCS,"Faculty: Hirasaki, George J.",Meeting: 10:00AM - 10:50AM MWF TBA TBA,3,Enrolled: 3 (Max 29)
12092,CHBE 550 001,PETRO PHASE BEHAV & FLOW ASSUR,"Faculty: Vargas Arreola, Francisco M.",Meeting: 04:00PM - 05:15PM MW TBA TBA,3,Enrolled: 12 (Max 17)
11409,CHBE 580 001,PROTEIN ENGINEERING,"Faculty: Segatori, Laura",Meeting: 10:50AM - 12:05PM TR TBA TBA,3,Enrolled: 1 (Max 29)
11929,CHBE 590 001,ADV REACTION ENGRG,"Faculty: Wong, Michael S.",Meeting: 11:00AM - 11:50AM MWF TBA TBA,3,Enrolled: 2 (Max 29)
11260,CHBE 605 001,TEACHING ASSISTANT,"Faculty: Wong, Michael S.",Meeting: TBA TBA,1,Enrolled: 16 (Max 45)
11261,CHBE 606 001,DEAN'S TEACHING ASSISTANT,"Faculty: Wong, Michael S.",Meeting: TBA TBA,1,Enrolled: 0 (Max 45)
10012,CHBE 611 001,ADVANCED TOPICS-THERMODYNAMICS,"Faculty: Robert, Marc A.",Meeting: 09:25AM - 10:40AM TR TBA TBA,3,Enrolled: 2 (Max 29)
12839,CHBE 640 001,METABOLIC ENGINEERING,"Faculty: Gonzalez, Ramon",Meeting: 10:50AM - 12:05PM TR TBA TBA,3,Enrolled: 6 (Max 29)
10013,CHBE 661 001,GRADUATE SEMINAR,"Faculty: Verduzco, Rafael",Meeting: 02:30PM - 03:59PM R TBA TBA,1,Enrolled: 51 (Max 150)
10014,CHBE 700 001,M.S. RESEARCH AND THESIS,"Faculty: Chapman, Walter G.",Meeting: TBA TBA,1 TO 15,Enrolled: 1 (Max 10)
10015,CHBE 800 001,GRADUATE RESEARCH,"Faculty: Chapman, Walter G.",Meeting: TBA TBA,1 TO 15,Enrolled: 56 (Max 70)
11487,CHEM 110 001,FRESHMAN CHEMISTRY SEMINAR,"Faculty: Matsuda, Seiichi P.",Meeting: 02:00PM - 03:29PM W TBA TBA,1,Enrolled: 0 (Max 15)
11045,CHEM 121 001,GENERAL CHEMISTRY I,"Faculty: Hutchinson, John S.",Meeting: 08:00AM - 08:50AM MWF TBA TBA,3,Enrolled: 2 (Max 150)
10499,CHEM 121 002,GENERAL CHEMISTRY I,"Faculty: Tran, Lesa A.",Meeting: 10:00AM - 10:50AM MWF TBA TBA,3,Enrolled: 14 (Max 150)
10500,CHEM 121 003,GENERAL CHEMISTRY I,"Faculty: Tran, Lesa A.",Meeting: 01:00PM - 01:50PM MWF TBA TBA,3,Enrolled: 9 (Max 150)
11230,CHEM 123 001,GENERAL CHEMISTRY LAB I,"Faculty: Kincaid, Kristi",Meeting: 02:00PM - 05:29PM M TBA TBA,1,Enrolled: 3 (Max 48)
11231,CHEM 123 002,GENERAL CHEMISTRY LAB I,"Faculty: Kincaid, Kristi",Meeting: 02:00PM - 05:29PM M TBA TBA,1,Enrolled: 0 (Max 48)
11218,CHEM 123 003,GENERAL CHEMISTRY LAB I,"Faculty: Kincaid, Kristi",Meeting: 06:30PM - 09:59PM M TBA TBA,1,Enrolled: 10 (Max 48)
11219,CHEM 123 004,GENERAL CHEMISTRY LAB I,"Faculty: Kincaid, Kristi",Meeting: 06:30PM - 09:59PM M TBA TBA,1,Enrolled: 0 (Max 48)
11220,CHEM 123 005,GENERAL CHEMISTRY LAB I,"Faculty: Kincaid, Kristi",Meeting: 02:00PM - 05:29PM T TBA TBA,1,Enrolled: 4 (Max 48)
11221,CHEM 123 006,GENERAL CHEMISTRY LAB I,"Faculty: Kincaid, Kristi",Meeting: 02:00PM - 05:29PM T TBA TBA,1,Enrolled: 1 (Max 48)
11222,CHEM 123 007,GENERAL CHEMISTRY LAB I,"Faculty: Kincaid, Kristi",Meeting: 02:00PM - 05:29PM W TBA TBA,1,Enrolled: 2 (Max 48)
11223,CHEM 123 008,GENERAL CHEMISTRY LAB I,"Faculty: Kincaid, Kristi",Meeting: 02:00PM - 05:29PM W TBA TBA,1,Enrolled: 3 (Max 48)
11224,CHEM 123 009,GENERAL CHEMISTRY LAB I,"Faculty: Kincaid, Kristi",Meeting: 02:00PM - 05:29PM F TBA TBA,1,Enrolled: 1 (Max 48)
11225,CHEM 123 010,GENERAL CHEMISTRY LAB I,"Faculty: Kincaid, Kristi",Meeting: 02:00PM - 05:29PM F TBA TBA,1,Enrolled: 0 (Permission Required)
11226,CHEM 151 002,HONORS CHEMISTRY I,"Faculty: Whitmire, Kenton H.",Meeting: 10:00AM - 10:50AM MWF TBA TBA,3,Enrolled: 1 (Max 48)
11227,CHEM 153 002,HONORS CHEMISTRY LABORATORY I,"Faculty: Gilbertson, Michelle L.",Meeting: 01:00PM - 04:59PM R TBA TBA,1,Enrolled: 1 (Max 48)
13056,CHEM 178 001,THE CHEMISTRY OF COOKING,"Faculty: Tran, Lesa A.",Meeting: 06:00PM - 08:30PM W TBA TBA; 07:00PM - 07:50PM M TBA TBA,3,Enrolled: 12 (Max 18)
10703,CHEM 211 001,ORGANIC CHEMISTRY I,"Faculty: Gilbertson, Michelle L.",Meeting: 09:25AM - 10:40AM TR TBA TBA,3,Enrolled: 146 (Max 250)
10501,CHEM 211 002,ORGANIC CHEMISTRY I,"Faculty: Tour, James M.",Meeting: 10:50AM - 12:05PM TR TBA TBA,3,Enrolled: 73 (Max 250)
10904,CHEM 212 001,ORGANIC CHEMISTRY II,"Faculty: Yost, Julianne",Meeting: 10:50AM - 12:05PM TR TBA TBA,3,Enrolled: 66 (Max 150)
10903,CHEM 215 001,ORGANIC CHEMISTRY LAB,"Faculty: McNeil, Caroline V.",Meeting: 01:00PM - 04:59PM T TBA TBA,2,Enrolled: 37 (Max 40)
12505,CHEM 215 002,ORGANIC CHEMISTRY LAB,"Faculty: McNeil, Caroline V.",Meeting: 01:00PM - 04:59PM M TBA TBA,2,Enrolled: 26 (Max 40)
11659,CHEM 217 001,ORGANIC LAB CHEM ENGINEERS,"Faculty: Yost, Julianne",Meeting: 01:00PM - 04:29PM W TBA TBA,1,Enrolled: 40 (Max 40)
11484,CHEM 217 002,ORGANIC LAB CHEM ENGINEERS,"Faculty: Yost, Julianne",Meeting: 01:00PM - 04:29PM F TBA TBA,1,Enrolled: 29 (Max 40)
11488,CHEM 220 001,UNDERGRAD CHEMISTRY SEMINAR,"Faculty: Landes, Christy F.",Meeting: 02:00PM - 02:59PM T TBA TBA,1,Enrolled: 5 (Max 19)
10694,CHEM 310 001,PHYSICAL CHEMISTRY,"Faculty: Link, Stephan",Meeting: 10:50AM - 12:05PM TR TBA TBA,3,Enrolled: 43 (Max 87)
12504,CHEM 366 001,INORGANIC CHEMISTRY LAB,"Faculty: Wilson, Lon J.",Meeting: 01:00PM - 01:50PM W TBA TBA; 01:00PM - 05:00PM R TBA TBA,2,Enrolled: 28 (Max 30)
12501,CHEM 391 001,RESEARCH FOR UNDERGRADUATES,"Faculty: Brooks, Philip R.",Meeting: TBA TBA,1 TO 5,Enrolled: 1 (Permission Required)
11257,CHEM 398 001,ADV MOD DEV EXP UG CHEMISTRY,"Faculty: Ball, Zachary T.",Meeting: TBA TBA,1,Enrolled: 0 (Permission Required)
10557,CHEM 401 001,ADV ORGANIC CHEMISTRY,"Faculty: Billups, W E.",Meeting: 09:25AM - 10:40AM TR TBA TBA,3,Enrolled: 29 (Max 40)
12507,CHEM 411 001,SPECTRAL METH. IN ORGANIC CHEM,"Faculty: Engel, Paul S.",Meeting: 09:00AM - 09:50AM MWF TBA TBA,3,Enrolled: 13 (Max 19)
10502,CHEM 415 001,CHEMICAL KINETICS & DYNAMICS,"Faculty: Brooks, Philip R.",Meeting: 09:25AM - 10:40AM TR TBA TBA,3,Enrolled: 3 (Max 15)
10503,CHEM 430 001,QUANTUM CHEMISTRY,"Faculty: Clementi, Cecilia; Kolomeisky, Anatoly B.",Meeting: 10:50AM - 12:05PM TR TBA TBA,3,Enrolled: 5 (Max 15)
12506,CHEM 450 001,CHEM PHYS CONDENSED&BIO MATTER,"Faculty: Wolynes, Peter",Meeting: 10:50AM - 12:05PM TR TBA TBA,3,Enrolled: 5 (Max 19)
10504,CHEM 491 001,RESEARCH FOR UNDERGRADUATES,"Faculty: Brooks, Philip R.",Meeting: TBA TBA,1 TO 5,Enrolled: 13 (Permission Required)
11396,CHEM 492 001,UNDERGRADUATES HONORS RESEARCH,"Faculty: Brooks, Philip R.",Meeting: TBA TBA,5,Enrolled: 0 (Permission Required)
10505,CHEM 495 001,TRANSITION METAL CHEMISTRY,"Faculty: Wilson, Lon J.",Meeting: 07:00PM - 08:15PM TR TBA TBA,3,Enrolled: 22 (Max 30)
12074,CHEM 525 001,FUND PHOTOLUM SPECT,"Faculty: Marti-Arbona, Angel A.",Meeting: 08:00AM - 09:15AM TR TBA TBA,1.5,Enrolled: 7 (Max 19)
10506,CHEM 547 001,SUPRAMOLECULAR CHEMISTRY,"Faculty: Zubarev, Eugene",Meeting: 10:50AM - 12:05PM TR TBA TBA,3,Enrolled: 11 (Max 35)
12078,CHEM 557 001,NANOCARBONS,"Faculty: Weisman, R B.",Meeting: 11:00AM - 12:15PM MW TBA TBA,1.5,Enrolled: 8 (Max 19)
11214,CHEM 570 001,TEACHING CHEMICAL CONCEPTS,"Faculty: Nichol, Carolyn A.; Hutchinson, John S.",Meeting: 05:00PM - 08:59PM R TBA TBA,3,Enrolled: 0 (Permission Required)
12502,CHEM 586 001,CHEMICAL TOOLS FOR BIOLOGY,"Faculty: Ball, Zachary T.",Meeting: 11:00AM - 11:50AM MWF TBA TBA,1.5,Enrolled: 7 (Max 19)
10507,CHEM 600 001,PHYSICAL CHEMISTRY,"Faculty: Kolomeisky, Anatoly B.; Clementi, Cecilia",Meeting: 02:00PM - 02:59PM M TBA TBA,1,Enrolled: 31 (Max 49)
10508,CHEM 600 002,BIOLOGICAL & SYNTHETIC CHEM,"Faculty: Hartgerink, Jeffrey D.",Meeting: 02:00PM - 02:59PM T TBA TBA,1,Enrolled: 18 (Max 40)
10509,CHEM 600 003,NANOCHEMISTRY,"Faculty: Brooks, Philip R.",Meeting: 02:00PM - 02:59PM R TBA TBA,1,Enrolled: 28 (Max 49)
10510,CHEM 600 004,CARBON NANOCHEMISTRY,"Faculty: Weisman, R B.; Tour, James M.",Meeting: 02:00PM - 02:59PM F TBA TBA,1,Enrolled: 0 (Permission Required)
12999,CHEM 661 001,NONOPHOT/SPECT/SUSTAINABILITY,"Faculty: Thomann, Isabell",Meeting: 10:50AM - 12:05PM TR TBA TBA,3,Enrolled: 2 (Max 19)
11280,CHEM 700 001,TEACHING PRACTICUM,"Faculty: Gilbertson, Michelle L.",Meeting: TBA TBA,2,Enrolled: 18 (Max 60)
10511,CHEM 800 001,GRADUATE RESEARCH,"Faculty: Pasquali, Matteo",Meeting: TBA TBA,1 TO 15,Enrolled: 89 (Max 200)
11687,CHIN 101 001,FIRST YEAR CHINESE I,"Faculty: Yeh, Meng",Meeting: 12:25PM - 01:50PM MWF TBA TBA,5,Enrolled: 12 (Max 19)
11689,CHIN 101 002,FIRST YEAR CHINESE I,"Faculty: Yeh, Meng",Meeting: 02:00PM - 03:25PM MWF TBA TBA,5,Enrolled: 3 (Max 19)
12716,CHIN 102 001,FIRST YEAR CHINESE II,"Faculty: Shen, Chao-Mei",Meeting: 11:00AM - 12:25PM MWF TBA TBA,5,Enrolled: 7 (Max 19)
11289,CHIN 211 001,ACCL ELEMENTARY CHINESE I,"Faculty: Tsai, Pei-Ting",Meeting: 01:00PM - 01:50PM MWF TBA TBA,3,Enrolled: 8 (Max 19)
10715,CHIN 211 002,ACCL ELEMENTARY CHINESE I,"Faculty: Tsai, Pei-Ting",Meeting: 10:00AM - 10:50AM MWF TBA TBA,3,Enrolled: 10 (Max 19)
12746,CHIN 263 001,INTERM CHIN LANG & CULTURE II,"Faculty: Fu, Liang",Meeting: 02:00PM - 02:50PM MWF TBA TBA,3,Enrolled: 14 (Max 19)
10150,CHIN 301 001,THIRD YEAR CHINESE I,"Faculty: Shen, Chao-Mei",Meeting: 01:00PM - 01:50PM MWF TBA TBA,3,Enrolled: 3 (Max 19)
10554,CHIN 311 001,ACCL INTERMEDIATE CHINESE I,"Faculty: Fu, Liang",Meeting: 11:00AM - 11:50AM MWF TBA TBA,3,Enrolled: 11 (Max 19)
12645,CHIN 332 001,FILM & CHINESE LITERATURE,"Faculty: Qian, Nanxiu",Meeting: 02:30PM - 03:45PM TR TBA TBA,3,Enrolled: 3 (Max 19)
11794,CHIN 401 001,FOURTH YEAR CHINESE I,"Faculty: Fu, Liang",Meeting: 01:00PM - 01:50PM MWF TBA TBA,3,Enrolled: 18 (Max 19)
10151,CHIN 411 001,ACCL ADVANCED CHINESE I,"Faculty: Tsai, Pei-Ting",Meeting: 11:00AM - 11:50AM MWF TBA TBA,3,Enrolled: 3 (Max 19)
10714,CLAS 102 AM1,INTRO TO HIST OF WESTERN ART I,"Faculty: Neagley, Linda; Hopkins, John",Meeting: 10:00AM - 10:50AM MWF TBA TBA; 04:00PM - 04:50PM M TBA TBA,4,Enrolled: 3 (Max 18)
11387,CLAS 102 AR3,INTRO TO HIST OF WESTERN ART I,"Faculty: Neagley, Linda",Meeting: 10:00AM - 10:50AM MWF TBA TBA; 07:00PM - 07:50PM T TBA TBA,4,Enrolled: 0 (Max 18)
11096,CLAS 102 AW2,INTRO TO HIST OF WESTERN ART I,"Faculty: Neagley, Linda",Meeting: 10:00AM - 10:50AM MWF TBA TBA; 04:00PM - 04:50PM W TBA TBA,4,Enrolled: 1 (Max 18)
10706,CLAS 201 001,HISTORY OF PHILOSOPHY I,"Faculty: Siewert, Charles",Meeting: 10:50AM - 12:05PM TR TBA TBA,3,Enrolled: 2 (Max 40)
12602,CLAS 210 001,HOMER AND VIRGIL,"Faculty: McGill, Scott C.",Meeting: 11:00AM - 11:50AM MWF TBA TBA,3,Enrolled: 14 (Max 19)
12575,CLAS 301 001,SOCRATES,"Faculty: Morrison, Donald R.",Meeting: 10:50AM - 12:05PM TR TBA TBA,3,Enrolled: 3 (Max 23)
10725,CLAS 491 001,SPECIAL TOPICS,Faculty:,Meeting: TBA TBA,3,Enrolled: 0 (Permission Required)
11010,CLAS 493 001,SENIOR THESIS,Faculty:,Meeting: TBA TBA,3,Enrolled: 0 (Permission Required)
12978,COLL 113 001,INTERMEDIATE CANTONESE,"Faculty: Liu, Ziyue; Tsang, Christopher I.",Meeting: 06:45PM - 07:59PM T TBA TBA,1,Enrolled: 8 (Max 19)
12977,COLL 116 001,INTRODUCTION TO CANTONESE,"Faculty: Huang, Qixuan",Meeting: 08:00PM - 08:59PM T TBA TBA,1,Enrolled: 15 (Max 15)
12970,COLL 166 001,BIOFUELS,"Faculty: Moore, Tierra S.; Chilton, Elizabeth H.",Meeting: 07:00PM - 07:59PM R TBA TBA,1,Enrolled: 9 (Max 19)
12971,COLL 167 001,VIDEO GAMES AS AN ART FORM,"Faculty: Watkins, Samantha M.",Meeting: 07:00PM - 07:59PM R TBA TBA,1,Enrolled: 19 (Max 19)
12972,COLL 168 001,WONDERFUL WORLD OF MUSICALS,"Faculty: Bingman, Laurel R.",Meeting: 08:00PM - 08:59PM W TBA TBA,1,Enrolled: 19 (Max 19)
12973,COLL 169 001,CRITICAL ANALYSIS OF ANIME,"Faculty: Bremauntz Enriquez, Alberto",Meeting: 07:00PM - 07:59PM T TBA TBA,1,Enrolled: 19 (Max 19)
12974,COLL 170 001,INTRO TO EMERGING &FUTURE TECH,"Faculty: Foer, Matthew B.",Meeting: 07:00PM - 07:59PM W TBA TBA,1,Enrolled: 14 (Max 19)
12975,COLL 171 001,INDIAN CINEMA & POLITICS,"Faculty: Rama, Sevita S.",Meeting: 07:00PM - 07:59PM T TBA TBA,1,Enrolled: 17 (Max 19)
13006,COLL 172 001,BSC SKILLS IN BATON TWIRLING,"Faculty: Saez, Cristina M.",Meeting: 02:00PM - 02:59PM F TBA TBA,1,Enrolled: 7 (Max 10)
12979,COLL 173 001,THE ETHICS OF JOURNALISM,"Faculty: Nazerian, Tina V.",Meeting: 08:00PM - 08:59PM T TBA TBA,1,Enrolled: 11 (Max 19)
12980,COLL 174 001,STRUCTURE OF SCIENTIFIC REV.,"Faculty: Baca, Andrew J.",Meeting: 08:00PM - 08:59PM M TBA TBA,1,Enrolled: 3 (Max 19)
12981,COLL 175 001,CHILDREN'S LITERATURE,"Faculty: Rightor, Kimberly M.",Meeting: 07:00PM - 07:59PM R TBA TBA,1,Enrolled: 16 (Max 16)
13000,COLL 176 001,SHORT FORM COMEDY IMPROV,"Faculty: McNamara, Shannon H.",Meeting: 07:00PM - 07:59PM M TBA TBA,1,Enrolled: 19 (Max 19)
11149,COLL 200 001,TEACHING PRACTICUM - BAKER,"Faculty: van der Werff, Ivo-Jan",Meeting: TBA TBA,1,Enrolled: 0 (Permission Required)
11150,COLL 200 002,TEACHING PRACTICUM - BROWN,"Faculty: Comer, Krista",Meeting: TBA TBA,1,Enrolled: 0 (Permission Required)
11151,COLL 200 003,TEACHING PRACTICUM - DUNCAN,"Faculty: Duno-Gottberg, Luis",Meeting: TBA TBA,1,Enrolled: 1 (Permission Required)
11152,COLL 200 004,TEACHING PRACTICUM - HANSZEN,"Faculty: Griffin, Robert J.",Meeting: TBA TBA,1,Enrolled: 0 (Permission Required)
11153,COLL 200 005,TEACHING PRACTICUM - JONES,"Faculty: Achard, Michel J.",Meeting: TBA TBA,1,Enrolled: 0 (Permission Required)
11154,COLL 200 006,TEACHING PRACTICUM - LOVETT,"Faculty: Pasquali, Matteo",Meeting: TBA TBA,1,Enrolled: 0 (Permission Required)
11155,COLL 200 007,TEACHING PRACTICUM - MARTEL,"Faculty: Loch-Temzelides, Ted P.",Meeting: TBA TBA,1,Enrolled: 0 (Permission Required)
11156,COLL 200 008,TEACHING PRACTICUM - MCMURTRY,"Faculty: Al-Zand, Karim A.",Meeting: TBA TBA,1,Enrolled: 0 (Permission Required)
11157,COLL 200 009,TEACHING PRACTICUM - WILL RICE,"Faculty: Gorman, Bridget K.",Meeting: TBA TBA,1,Enrolled: 0 (Permission Required)
11158,COLL 200 010,TEACHING PRACTICUM - SID RICH,"Faculty: Sawyer, Dale S.",Meeting: TBA TBA,1,Enrolled: 1 (Permission Required)
11159,COLL 200 011,TEACHING PRACTICUM - WIESS,"Faculty: Byrd, Alexander X.",Meeting: TBA TBA,1,Enrolled: 0 (Permission Required)
11497,COLL 200 012,TEACHING PRACT FYF PEER GUIDES,"Faculty: Crear, Shelah F.",Meeting: TBA TBA,1,Enrolled: 0 (Permission Required)
12976,COLL 201 001,INTRODUCTION TO LAW,"Faculty: Ramirez, Rodolfo",Meeting: 07:00PM - 09:59PM M TBA TBA,3,Enrolled: 25 (Max 25)
12982,COLL 202 001,COOKING WITH CHEF ROGER,"Faculty: Elkhouri, Roger E.",Meeting: 06:00PM - 08:29PM R TBA TBA,1,Enrolled: 40 (Max 40)
13081,COLL 211 001,RICE AFRICAN MUSIC ENSEMBLE,"Faculty: Keller, Andrew J.",Meeting: 05:00PM - 06:59PM T TBA TBA,1,Enrolled: 1 (Max 19)
11202,COLL 299 001,SCIENTIA SCIENCE & CULTURE,"Faculty: Kemmer, Suzanne E.",Meeting: 04:00PM - 05:15PM T TBA TBA,1,Enrolled: 7 (Max 29)
13012,COLL 300 001,PEDAGOGY FOR STDNT INSTRUCTORS,"Faculty: Achard, Michel J.",Meeting: 04:00PM - 05:29PM M TBA TBA,1,Enrolled: 36 (Max 60)
10498,COMP 100 001,INTRO COMPUTING & INFO SYS,"Faculty: Greiner, John D.",Meeting: 09:00AM - 09:50AM MWF TBA TBA,3,Enrolled: 43 (Max 42)
10626,COMP 140 001,COMPUTATIONAL THINKING,"Faculty: Rixner, Scott",Meeting: 10:50AM - 12:05PM TR TBA TBA,4,Enrolled: 30 (Max 70)
10726,COMP 140 002,COMPUTATIONAL THINKING,"Faculty: Rixner, Scott",Meeting: 02:30PM - 03:45PM TR TBA TBA,4,Enrolled: 29 (Max 70)
12598,COMP 140 003,COMPUTATIONAL THINKING,"Faculty: Rixner, Scott",Meeting: 01:00PM - 02:15PM TR TBA TBA,4,Enrolled: 17 (Max 70)
10627,COMP 160 001,INTRO TO GAME PROG IN PYTHON,"Faculty: Warren, Joe D.",Meeting: 01:00PM - 02:15PM TR TBA TBA; 04:30PM - 05:59PM M TBA TBA,4,Enrolled: 0 (Max 40)
11959,COMP 162 001,INTRO TO GAME CONTENT CREATION,"Faculty: Roeske, Howard W.",Meeting: 10:50AM - 12:05PM TR TBA TBA,3,Enrolled: 19 (Max 19)
11176,COMP 215 001,INTRODUCTION TO PROGRAM DESIGN,"Faculty: Jermaine, Christopher M.; Wallach, Dan S.",Meeting: 09:00AM - 09:50AM MWF TBA TBA,4,Enrolled: 99 (Max 100)
10019,COMP 290 001,COMPUTER SCIENCE PROJECTS,Faculty:,Meeting: TBA TBA,1 TO 3,Enrolled: 0 (Permission Required)
10886,COMP 310 001,ADV OBJECT-ORIENTED PROG,"Faculty: Wong, Stephen B.",Meeting: 09:25AM - 10:40AM T TBA TBA; 01:00PM - 01:50PM MWF TBA TBA,4,Enrolled: 30 (Max 30)
11401,COMP 310 002,ADV OBJECT-ORIENTED PROG,"Faculty: Wong, Stephen B.",Meeting: 01:00PM - 01:50PM MWF TBA TBA; 02:30PM - 03:45PM T TBA TBA,4,Enrolled: 30 (Max 30)
10512,COMP 326 001,DIGITAL LOGIC DESIGN,Faculty:,Meeting: 10:50AM - 12:05PM TR TBA TBA,3,Enrolled: 5 (Max 73)
13084,COMP 382 001,REASONING ABOUT ALGORITHMS,"Faculty: Chaudhuri, Swarat",Meeting: 10:50AM - 12:05PM TR TBA TBA,3,Enrolled: 37 (Max 49)
11183,COMP 390 001,COMPUTER SCIENCE PROJECTS,Faculty:,Meeting: TBA TBA,1 TO 3,Enrolled: 0 (Permission Required)
12818,COMP 402 001,PRODUCTION PROGRAMMING,"Faculty: Cartwright, Robert S.",Meeting: 01:00PM - 01:50PM MWF TBA TBA,4,Enrolled: 19 (Max 19)
12965,COMP 404 001,GR OBJ-ORIENTED PROG & DESIGN,"Faculty: Wong, Stephen B.",Meeting: 10:50AM - 12:05PM T TBA TBA; 11:00AM - 11:50AM MWF TBA TBA,4,Enrolled: 17 (Max 50)
11346,COMP 409 001,LOGIC IN COMPUTER SCIENCE,"Faculty: Vardi, Moshe Y.",Meeting: 09:25AM - 10:40AM TR TBA TBA,3,Enrolled: 13 (Max 40)
10191,COMP 412 001,COMPILER CONSTRUCTION,"Faculty: Cooper, Keith D.",Meeting: 11:00AM - 11:50AM MWF TBA TBA,4,Enrolled: 71 (Max 110)
11797,COMP 413 001,DISTRIB PROGRAM CONSTRUCTION,"Faculty: Cox, Alan L.",Meeting: 03:00PM - 03:50PM MWF TBA TBA,4,Enrolled: 9 (Max 15)
11604,COMP 424 001,MOBILE & EMBEDDED SYSTEM,"Faculty: Zhong, Lin",Meeting: 10:50AM - 12:05PM TR TBA TBA,4,Enrolled: 6 (Max 24)
10192,COMP 425 001,COMPUTER SYSTEMS ARCHITECTURE,"Faculty: Simar, Ray",Meeting: 02:00PM - 02:50PM MWF TBA TBA,4,Enrolled: 26 (Max 120)
11795,COMP 429 001,INTRO TO COMPUTER NETWORKS,"Faculty: Ng, Tze Sing E.",Meeting: 02:30PM - 03:45PM TR TBA TBA,4,Enrolled: 38 (Max 70)
12559,COMP 435 001,ELECTION SYSTEMS,"Faculty: Byrne, Michael D.; Stein, Robert M.; Wallach, Dan S.",Meeting: 01:00PM - 03:59PM W TBA TBA,3,Enrolled: 13 (Max 44)
11522,COMP 440 001,ARTIFICIAL INTELLIGENCE,"Faculty: Subramanian, Devika",Meeting: 09:25AM - 10:40AM TR TBA TBA,4,Enrolled: 38 (Max 39)
11462,COMP 446 002,MOBILE DEVICE APPLICATIONS,"Faculty: Cutler, Scott E.",Meeting: 02:00PM - 03:29PM W TBA TBA,4,Enrolled: 16 (Permission Required)
10194,COMP 450 001,ALGORITHMIC ROBOTICS,"Faculty: Kavraki, Lydia E.",Meeting: 01:00PM - 02:15PM TR TBA TBA,4,Enrolled: 38 (Max 50)
12819,COMP 482 001,DESIGN/ANALYSIS OF ALGORITHMS,"Faculty: Palem, Krishna V.",Meeting: 10:50AM - 12:05PM TR TBA TBA,3,Enrolled: 39 (Max 110)
11471,COMP 485 002,FUND MEDICAL IMAGING I,"Faculty: Mawlawi, Osama",Meeting: 04:00PM - 06:59PM R TBA TBA,3,Enrolled: 5 (Max 40)
10195,COMP 490 001,COMPUTER SCIENCE PROJECTS,Faculty:,Meeting: TBA TBA,1 TO 4,Enrolled: 1 (Permission Required)
10196,COMP 491 001,COMPUTER SCIENCE TEACHING,Faculty:,Meeting: TBA TBA,3,Enrolled: 0 (Permission Required)
10523,COMP 522 001,MULTI-CORE COMPUTING,"Faculty: Mellor-Crummey, John M.",Meeting: 01:00PM - 02:15PM TR TBA TBA,3,Enrolled: 31 (Max 30)
10199,COMP 524 001,MOBILE AND WIRELESS NETWORKING,"Faculty: Johnson, David B.",Meeting: 01:00PM - 01:50PM MWF TBA TBA,3,Enrolled: 26 (Max 30)
